Seniority,Function,Subject Line,Hook 1,Z_Contact Status,Email Opened,Email Replied
Manager,Supply Chain,Question (for a supply chain finance expert),"Found your profile while checking out the TreeHouse leadership team & admire your supply chain finance experience in the CPG industry, would love to connect. ",Unresponsive,7/20/2022,
Manager,Supply Chain,Your insights re: continuous improvement ,"Saw your expertise in lean manufacturing & Six Sigma, and current supply chain logistics leadership. Would love to learn how you think about continuous improvement through tech in supply chain logistics. ",Unresponsive,7/26/2022,
Director,Logistics,Moonshot,"Saw your experience in the food and beverage manufacturing industry, particularly intrigued by your finance leadership & work with logistics teams. I know this is a long shot but would love to connect. ",Unresponsive,,
Director,Logistics,Your railroad experience ??,Found your profile while checking out the J.R. Simplot logistics/ supply chain team. Saw your background in transportation (and work with Union Pacific Railroad) & current focus in planning and logistics. I know this is a longshot but would love to connect. ,Attempting To Contact,8/2/2022,
Vp,Supply Chain,Question for a supply chain leader,"Given your expertise in supply chain management, I'd be thrilled to connect and hear your insight on my company as we plan our next steps forward.",Unresponsive,7/20/2022,
Manager,Logistics,Your insights re: supply chain/ logistics innovation,Saw your expertise discovering creative solutions to business challenges in logistics & supply chain. Would love to get your insights on a supply chain creative solution of mine. ,Unresponsive,7/20/2022,
Director,Warehouse Operations,Your warehouse ops expertise,"Given your expertise in warehouse ops management in the food production industry, I'd be thrilled to connect and hear your insight on my company as we plan our next steps forward.",Unresponsive,7/20/2022,
Director,Supply Chain,Your supply chain finance expertise ,Saw your expertise in supply chain finance & would be thrilled to connect and hear your insight on my company as we plan our next steps forward.,Not Interested,7/13/2022,7/13/2022
Director,Supply Chain,CSR ? Supply chain director,Admire your 12+ year career with Leprino from CSR to supply chain director. Would be thrilled to connect & get your insights from your years in the field. ,Unresponsive,7/20/2022,
Head,Transportation,Your expertise in transportation,"Given your expertise in transportation & logistics management, I'd be thrilled to connect and hear your insight on my company as we plan our next steps forward.",Unresponsive,7/31/2022,
Manager,Supply Chain,Your international sourcing experience ,Saw your background sourcing products from international suppliers and your supply chain ops leadership. I'd be thrilled to connect and hear your insight on my company as we plan our next steps forward.,Attempting To Contact,,
Manager,Supply Chain,Your process improvement,Saw your supply chain management experience and your expertise in process improvement. Would love to learn how you've thought about tech's role in supply chain process improvement. ,Unresponsive,,
Vp,Supply Chain,Your Kellogg MBA,A Kellogg MBA and an incredible career in supply chain leadership- I can't think of a better person to reach out to.,Unresponsive,7/13/2022,
Vp,Logistics,Your expertise in transportation,"Given your 3+ decades expertise in transportation management, I'd be thrilled to connect and hear your insight on my company as we plan our next steps forward.",Attempting To Contact,,
Director,Supply Chain,Your MS in financial mgmt,"Saw your background in financial planning and analysis (and your MS in financial mgmt), given your current expertise in supply chain ops I'd value your unique perspective.",Unresponsive,,
Director,Logistics,Your expertise in logistics,"Given your expertise in logistics management over your 28+ year career with Dole, I'd be thrilled to connect and hear your insight on my company as we plan our next steps forward.",Unresponsive,7/20/2022,
Director,Supply Chain,Your supply chain planning expertise,"Given your expertise in supply chain planning, I'd be thrilled to connect and hear your insight on my company as we plan our next steps forward.",Unresponsive,7/27/2022,
Director,Logistics,Your 26 years,Admire your 26+ year career with Gruma from customer service to logistics director! ,Replied - Update me,11/9/2022,7/28/2022
Director,Logistics,Your Green Belt,"Found your profile while checking out the Mowi leadership team, saw your logistics experience and your Six Sigma green belt. Would love to learn how you've thought about continuous improvement in logistics/ supply chain. ",Unresponsive,7/13/2022,
C suite,Supply Chain,Your passion for supply chain and baseball,"Enjoyed listening to your last participation in the ""Supply Chain Now podcast."" Super impressed after listening about your career and your passion for baseball. Would be an honor to connect with a supply chain leader like yourself. ",Interested,10/3/2022,7/14/2022
Director,Supply Chain,Tech founder seeking feedback ,"Came across your name while reading an article featuring your name titled ""Meet the Advisory Board of the UW Master’s in Information Technology Management"" on the  Uwex website. Super impressed after reading about your background and your experience with Java and SharePoint. Would be an honor to connect with a tech expert like yourself. ",Unresponsive,,
Manager,Supply Chain,Your 15+ yrs supply chain career in F&B,"Given your 15+ yrs of supply chain experience in the F&B industry, I don't think there is anyone better suited for a productive/meaningful conversation - would be grateful for a moment of your time. ??",Unresponsive,7/20/2022,
